D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-76
D4:68:4D:3E:81:88	-67
D4:68:4D:3E:54:98	-59
00:22:6B:47:B8:32	-86
D4:68:4D:3E:8E:88	-83
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-110
58:93:96:08:4A:18	-78
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-72
D4:68:4D:3E:81:98	-60
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:8C:88	-66
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:58:E8	-73
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:91:D8	-52
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:A3:C8	-81
D4:68:4D:3E:8A:6C	-62
D4:68:4D:3E:A6:8C	-81
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-83
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:19:7C	-80
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-86
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-73
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-82
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-76
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:54:98	-57
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-82
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-88
58:93:96:08:4A:18	-73
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-72
D4:68:4D:3E:81:98	-65
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-73
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:91:D8	-56
D4:68:4D:3E:87:F8	-58
D4:68:4D:3E:A3:C8	-79
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-81
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:19:7C	-80
D4:68:4D:3E:A4:2C	-67
D4:68:4D:3E:54:8C	-87
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-82
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-82
D4:68:4D:3E:A7:B8	-86
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-76
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:54:98	-59
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-83
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-88
58:93:96:08:4A:18	-78
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-74
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-87
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:A3:08	-62
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-72
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:A3:C8	-81
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-86
D4:68:4D:3E:19:7C	-80
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-77
D4:68:4D:3E:81:8C	-73
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-86
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-81
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-82
D4:68:4D:3E:A7:B8	-86
00:1E:4A:90:01:70	-89
D4:68:4D:3E:82:9C	-51
D4:68:4D:3E:59:38	-76
D4:68:4D:3E:81:88	-84
D4:68:4D:3E:54:98	-56
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-82
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-88
58:93:96:08:4A:18	-78
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-73
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-85
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-72
D4:68:4D:3E:A4:28	-51
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:A3:C8	-81
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:59:3C	-84
D4:68:4D:3E:19:7C	-80
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-86
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-81
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-82
D4:68:4D:3E:A7:B8	-86
00:1E:4A:90:01:70	-89
D4:68:4D:3E:82:9C	-51
D4:68:4D:3E:59:38	-78
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:54:98	-57
00:22:6B:47:B8:32	-84
D4:68:4D:3E:8E:88	-82
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-89
58:93:96:08:4A:18	-74
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-73
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:A6:38	-85
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-55
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-74
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:87:F8	-56
D4:68:4D:3E:A3:C8	-83
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-81
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-83
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:59:3C	-84
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-73
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-86
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-82
D4:68:4D:3E:A7:B8	-86
00:1E:4A:90:01:70	-89
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-78
D4:68:4D:3E:81:88	-64
D4:68:4D:3E:54:98	-59
00:22:6B:47:B8:32	-90
D4:68:4D:3E:8E:88	-79
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-86
58:93:96:08:4A:18	-74
D4:68:4D:3E:81:A8	-110
D4:68:4D:3E:19:78	-75
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-85
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:A3:08	-62
D4:68:4D:3E:8A:68	-61
D4:68:4D:3E:82:98	-43
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-72
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:87:F8	-56
D4:68:4D:3E:A3:C8	-83
D4:68:4D:3E:8A:6C	-62
D4:68:4D:3E:A6:8C	-81
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:58:EC	-85
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-67
D4:68:4D:3E:54:8C	-84
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-77
D4:68:4D:3E:81:8C	-73
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-86
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-110
00:1E:4A:90:01:70	-89
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-78
D4:68:4D:3E:81:88	-64
D4:68:4D:3E:54:98	-58
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-85
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-89
6C:AA:B3:72:31:C8	-86
58:93:96:08:4A:18	-73
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:19:78	-73
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-83
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-74
D4:68:4D:3E:A4:28	-57
D4:68:4D:3E:91:D8	-50
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:A3:C8	-83
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-67
D4:68:4D:3E:54:8C	-84
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-73
D4:68:4D:3E:8C:8C	-71
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-83
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:82:9C	-51
D4:68:4D:3E:59:38	-78
D4:68:4D:3E:81:88	-64
D4:68:4D:3E:54:98	-84
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-85
D4:68:4D:3E:8B:48	-90
6C:AA:B3:32:31:C8	-89
6C:AA:B3:72:31:C8	-90
58:93:96:08:4A:18	-72
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-83
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-60
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:58:E8	-73
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:91:D8	-52
D4:68:4D:3E:87:F8	-56
D4:68:4D:3E:A3:C8	-83
D4:68:4D:3E:8A:6C	-62
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:58:EC	-83
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-83
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-85
00:1E:4A:90:01:70	-110
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-85
D4:68:4D:3E:81:88	-85
D4:68:4D:3E:54:98	-58
00:22:6B:47:B8:32	-86
D4:68:4D:3E:8E:88	-82
D4:68:4D:3E:8B:48	-90
6C:AA:B3:32:31:C8	-89
6C:AA:B3:72:31:C8	-90
58:93:96:08:4A:18	-73
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:A6:38	-83
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:A6:88	-69
D4:68:4D:3E:58:E8	-73
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:A3:C8	-82
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-67
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-77
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-80
42:49:0F:9A:96:50	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-85
00:1E:4A:90:01:70	-110
D4:68:4D:3E:89:58	-84
D4:68:4D:3E:82:9C	-51
D4:68:4D:3E:59:38	-85
D4:68:4D:3E:81:88	-64
D4:68:4D:3E:54:98	-58
00:22:6B:47:B8:32	-85
D4:68:4D:3E:8E:88	-83
D4:68:4D:3E:8B:48	-91
6C:AA:B3:32:31:C8	-89
6C:AA:B3:72:31:C8	-90
58:93:96:08:4A:18	-73
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:19:78	-74
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:38	-83
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:82:98	-41
D4:68:4D:3E:A6:88	-69
D4:68:4D:3E:58:E8	-72
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:A3:C8	-82
D4:68:4D:3E:8A:6C	-61
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-84
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-84
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-77
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-80
42:49:0F:9A:96:50	-85
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-84
00:1E:4A:90:01:70	-110
D4:68:4D:3E:89:58	-84
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-79
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:54:98	-58
00:22:6B:47:B8:32	-86
D4:68:4D:3E:8E:88	-83
D4:68:4D:3E:8B:48	-89
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-89
58:93:96:08:4A:18	-74
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:19:78	-74
D4:68:4D:3E:81:98	-62
D4:68:4D:3E:A6:38	-83
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:82:98	-43
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:58:E8	-72
D4:68:4D:3E:A4:28	-51
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:A3:C8	-80
D4:68:4D:3E:8A:6C	-62
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:59:3C	-84
D4:68:4D:3E:19:7C	-79
D4:68:4D:3E:A4:2C	-66
D4:68:4D:3E:54:8C	-85
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:81:9C	-77
D4:68:4D:3E:54:9C	-76
D4:68:4D:3E:81:8C	-72
D4:68:4D:3E:8C:8C	-72
2C:E6:CC:1A:CB:D8	-65
D4:68:4D:3E:54:D8	-80
42:49:0F:9A:96:50	-85
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-84
00:1E:4A:90:01:70	-110
D4:68:4D:3E:89:58	-84
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:38	-77
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:54:98	-59
00:22:6B:47:B8:32	-85
