MAC	Signal
D4:68:4D:3E:87:FC	-51
D4:68:4D:3E:82:98	-31
D4:68:4D:3E:81:88	-54
D4:68:4D:3E:59:38	-61
D4:68:4D:3E:19:78	-62
D4:68:4D:3E:8A:68	-66
D4:68:4D:3E:81:98	-83
D4:68:4D:3E:A7:B8	-76
D4:68:4D:3E:A3:C8	-71
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:57:78	-88
D4:68:4D:3E:A3:08	-55
D4:68:4D:3E:87:F8	-56
D4:68:4D:3E:91:D8	-58
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:98	-70
D4:68:4D:3E:77:38	-76
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:8C:88	-48
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:89:58	-79
00:22:6B:47:B8:32	-90
D4:68:4D:3E:8A:6C	-84
D4:68:4D:3E:A6:8C	-76
D4:68:4D:3E:8B:4C	-88
D4:68:4D:3E:91:DC	-72
D4:68:4D:3E:59:3C	-74
D4:68:4D:3E:82:9C	-45
D4:68:4D:3E:A4:2C	-76
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:9C	-87
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:81:9C	-84
D4:68:4D:3E:A3:0C	-89
D4:68:4D:3E:8C:8C	-72
D4:68:4D:3E:81:8C	-75
D4:68:4D:3E:87:FC	-51
D4:68:4D:3E:82:98	-31
D4:68:4D:3E:81:88	-53
D4:68:4D:3E:59:38	-62
D4:68:4D:3E:19:78	-63
D4:68:4D:3E:8A:68	-68
D4:68:4D:3E:81:98	-83
D4:68:4D:3E:A7:B8	-79
D4:68:4D:3E:A3:C8	-71
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:57:78	-88
D4:68:4D:3E:A3:08	-56
D4:68:4D:3E:87:F8	-58
D4:68:4D:3E:91:D8	-54
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:54:98	-69
D4:68:4D:3E:77:38	-76
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:8C:88	-47
D4:68:4D:3E:54:D8	-82
D4:68:4D:3E:89:58	-78
00:22:6B:47:B8:32	-91
D4:68:4D:3E:8A:6C	-82
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:8B:4C	-89
D4:68:4D:3E:91:DC	-71
D4:68:4D:3E:59:3C	-74
D4:68:4D:3E:82:9C	-45
D4:68:4D:3E:A4:2C	-77
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:9C	-88
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:81:9C	-85
D4:68:4D:3E:A3:0C	-88
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:81:8C	-76
D4:68:4D:3E:81:A8	-71
6C:AA:B3:72:31:C8	-81
6C:AA:B3:32:31:C8	-80
