2018/09/02.17:22:41	"TU"	D4:68:4D:3E:8B:4C	40	AP		PSK	CCMP	CCMP	5200	30	-110	80	-88	-84	38	2018/09/02.16:45:59	2018/09/02.17:10:06	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:54:8C	40	AP		PSK	CCMP	CCMP	5200	26	-110	80	-88	-84	38	2018/09/02.16:45:59	2018/09/02.17:11:04	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:77:3C	40	AP		PSK	CCMP	CCMP	5200	22	-110	80	-89	-79	38	2018/09/02.16:45:59	2018/09/02.17:15:36	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:87:FC	44	AP	bgnac	PSK	CCMP	CCMP	5220	100	-41	80	-54	-28	46	2018/09/02.16:45:59	2018/09/02.17:22:41	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-45	80	-57	-34	46	2018/09/02.16:45:59	2018/09/02.17:22:41	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	26	-87	80	-87	-68	46	2018/09/02.16:45:59	2018/09/02.17:22:41	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:A3:0C	149	AP		PSK	CCMP	CCMP	5745	26	-110	80	-89	-82	151	2018/09/02.16:45:59	2018/09/02.16:56:44	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:19:7C	149	AP	bgnac	PSK	CCMP	CCMP	5745	42	-79	80	-85	-64	151	2018/09/02.16:45:59	2018/09/02.17:22:41	"Ruckus Wireless"
2018/09/02.17:22:41	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP		PSK	TKIP	CCMP TKIP	5745	22	-110	40	-89	-73	151	2018/09/02.16:45:59	2018/09/02.17:13:47	"Ruckus Wireless"
2018/09/02.17:22:41	"TU"	D4:68:4D:3E:54:9C	157	AP		PSK	CCMP	CCMP	5785	24	-110	80	-89	-81	159	2018/09/02.16:45:59	2018/09/02.17:17:25	"Ruckus Wireless"
