date:-2018/09/14  LINSSIDDATALOGVER 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	52	-74	80	-74	-74	46	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-45	80	-45	-45	46	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	48	-76	40	-76	-76	151	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:54:8C	153	AP	bgnac	PSK	CCMP	CCMP	5765	22	-89	80	-89	-89	151	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	26	-87	80	-87	-87	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	28	-86	80	-86	-86	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-84	-84	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	22	-89	80	-89	-89	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	56	-72	80	-72	-72	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	50	-75	80	-75	-75	159	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	98	-51	80	-51	-51	46	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-31	20	-31	-31	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	94	-53	20	-54	-53	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-62	-61	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	74	-63	20	-63	-62	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-68	-66	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	34	-83	20	-83	-83	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	42	-79	20	-79	-76	1	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	58	-71	20	-71	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	58	-71	20	-72	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:57:78	4	AP	bgn	PSK	CCMP	CCMP	2427	24	-88	20	-88	-88	4	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-56	-55	6	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	84	-58	20	-58	-56	6	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	92	-54	20	-58	-54	6	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	34	-83	20	-83	-83	6	2018/09/14.20:56:03	2018/09/14.20:56:09	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	62	-69	20	-70	-69	6	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	48	-76	20	-76	-76	7	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	74	-63	20	-63	-63	10	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-47	20	-48	-47	11	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
