00:1E:4A:8F:F5:D0	-80	-91
00:1E:4A:8F:FE:30	-78	-92
00:1E:4A:90:00:20	-70	-81
00:1E:4A:90:01:70	-84	-91
00:1E:4A:90:04:30	-88	-93
00:22:6B:47:B8:32	-89	-97
2C:E6:CC:1A:CB:D8	-58	-58
42:49:0F:9A:96:50	-84	-88
44:1C:A8:0F:72:9E	-79	-90
56:13:79:D4:3E:98	-86	-86
58:93:96:08:4A:18	-59	-74
58:93:96:08:4A:1C	-86	-90
6C:AA:B3:32:31:C8	-84	-89
6C:AA:B3:72:31:C8	-85	-89
72:82:D5:8A:9A:28	-91	-92
D4:68:4D:3E:19:78	-66	-84
D4:68:4D:3E:19:7C	-75	-90
D4:68:4D:3E:54:98	-45	-58
D4:68:4D:3E:54:9C	-71	-83
D4:68:4D:3E:54:D8	-73	-92
D4:68:4D:3E:54:DC	-83	-89
D4:68:4D:3E:58:E8	-62	-75
D4:68:4D:3E:58:EC	-82	-86
D4:68:4D:3E:59:38	-74	-84
D4:68:4D:3E:59:3C	-83	-90
D4:68:4D:3E:77:38	-77	-87
D4:68:4D:3E:81:88	-66	-81
D4:68:4D:3E:81:8C	-76	-87
D4:68:4D:3E:81:98	-45	-55
D4:68:4D:3E:81:9C	-55	-66
D4:68:4D:3E:81:A8	-63	-76
D4:68:4D:3E:81:AC	-81	-87
D4:68:4D:3E:82:98	-51	-68
D4:68:4D:3E:82:9C	-67	-76
D4:68:4D:3E:87:F8	-65	-80
D4:68:4D:3E:87:FC	-76	-84
D4:68:4D:3E:89:58	-85	-89
D4:68:4D:3E:8A:68	-48	-61
D4:68:4D:3E:8A:6C	-56	-76
D4:68:4D:3E:8C:88	-58	-68
D4:68:4D:3E:8C:8C	-74	-83
D4:68:4D:3E:8E:88	-70	-85
D4:68:4D:3E:91:D8	-40	-56
D4:68:4D:3E:91:DC	-56	-69
D4:68:4D:3E:A3:08	-57	-69
D4:68:4D:3E:A3:0C	-79	-89
D4:68:4D:3E:A3:C8	-76	-89
D4:68:4D:3E:A4:28	-31	-46
D4:68:4D:3E:A4:2C	-54	-59
D4:68:4D:3E:A6:38	-73	-87
D4:68:4D:3E:A6:3C	-88	-88
D4:68:4D:3E:A6:88	-63	-72
D4:68:4D:3E:A6:8C	-70	-75
D4:68:4D:3E:A7:B8	-81	-96
D4:C1:9E:3F:1A:98	-80	-83
DA:32:E3:B9:FF:04	-27	-58
