00:1E:4A:8F:F5:D0	-67	-87
00:1E:4A:8F:FE:30	-68	-85
00:1E:4A:90:00:20	-54	-78
00:1E:4A:90:00:60	-90	-96
00:1E:4A:90:01:70	-70	-82
00:1E:4A:90:04:30	-80	-88
00:22:6B:47:B8:32	-75	-86
00:24:82:25:4E:58	-60	-64
00:24:82:25:4E:5A	-60	-60
00:24:82:65:4E:58	-60	-63
2C:E6:CC:1A:CB:D8	-58	-62
42:49:0F:9A:96:50	-77	-90
44:1C:A8:0F:72:9E	-70	-85
58:93:96:08:4A:18	-68	-84
5C:51:88:82:1B:34	-76	-76
6C:AA:B3:32:31:C8	-88	-90
6C:AA:B3:72:31:C8	-86	-90
D4:68:4D:3E:19:78	-75	-86
D4:68:4D:3E:54:98	-58	-70
D4:68:4D:3E:54:9C	-81	-88
D4:68:4D:3E:54:D8	-78	-88
D4:68:4D:3E:54:DC	-88	-91
D4:68:4D:3E:58:E8	-68	-85
D4:68:4D:3E:59:38	-74	-87
D4:68:4D:3E:77:38	-83	-88
D4:68:4D:3E:81:88	-74	-86
D4:68:4D:3E:81:98	-59	-71
D4:68:4D:3E:81:9C	-65	-78
D4:68:4D:3E:81:A8	-41	-50
D4:68:4D:3E:81:AC	-65	-77
D4:68:4D:3E:81:C8	-90	-90
D4:68:4D:3E:82:98	-56	-71
D4:68:4D:3E:82:9C	-66	-79
D4:68:4D:3E:87:F8	-69	-83
D4:68:4D:3E:87:FC	-76	-87
D4:68:4D:3E:8A:68	-29	-45
D4:68:4D:3E:8A:6C	-42	-57
D4:68:4D:3E:8C:88	-64	-76
D4:68:4D:3E:8E:88	-68	-79
D4:68:4D:3E:8E:8C	-79	-90
D4:68:4D:3E:91:D8	-47	-60
D4:68:4D:3E:91:DC	-66	-74
D4:68:4D:3E:A3:08	-62	-75
D4:68:4D:3E:A3:0C	-88	-90
D4:68:4D:3E:A3:C8	-86	-91
D4:68:4D:3E:A4:28	-41	-63
D4:68:4D:3E:A4:2C	-68	-75
D4:68:4D:3E:A5:08	-82	-95
D4:68:4D:3E:A6:38	-55	-80
D4:68:4D:3E:A6:3C	-78	-88
D4:68:4D:3E:A6:88	-79	-86
D4:68:4D:3E:A6:8C	-87	-89
D4:68:4D:3E:A7:B8	-84	-92
D4:C1:9E:3F:1A:98	-68	-68
D4:C1:9E:3F:1A:9C	-78	-79
D4:C1:9E:7F:1A:58	-66	-68
D4:C1:9E:BF:1A:97	-78	-78
DA:32:E3:B9:FF:04	-33	-58
DE:53:60:A3:80:59	-79	-83
