00:1E:4A:8F:FE:30	-80	-90
00:1E:4A:90:00:20	-66	-76
00:1E:4A:90:04:30	-87	-93
00:22:6B:47:B8:32	-77	-89
42:49:0F:9A:96:50	-76	-90
44:1C:A8:0F:72:9E	-68	-80
56:13:79:D4:3E:98	-71	-71
58:93:96:08:4A:18	-68	-83
D4:68:4D:3E:19:78	-68	-82
D4:68:4D:3E:19:7C	-87	-90
D4:68:4D:3E:54:98	-56	-67
D4:68:4D:3E:54:9C	-79	-85
D4:68:4D:3E:54:D8	-73	-94
D4:68:4D:3E:54:DC	-83	-90
D4:68:4D:3E:58:E8	-70	-82
D4:68:4D:3E:58:EC	-84	-89
D4:68:4D:3E:59:38	-74	-90
D4:68:4D:3E:59:3C	-82	-87
D4:68:4D:3E:77:38	-78	-88
D4:68:4D:3E:81:88	-72	-87
D4:68:4D:3E:81:98	-64	-77
D4:68:4D:3E:81:9C	-71	-82
D4:68:4D:3E:81:A8	-55	-68
D4:68:4D:3E:81:AC	-78	-84
D4:68:4D:3E:82:98	-53	-70
D4:68:4D:3E:82:9C	-65	-78
D4:68:4D:3E:87:F8	-64	-90
D4:68:4D:3E:87:FC	-74	-86
D4:68:4D:3E:8A:68	-50	-59
D4:68:4D:3E:8A:6C	-57	-70
D4:68:4D:3E:8C:88	-66	-76
D4:68:4D:3E:8C:8C	-85	-89
D4:68:4D:3E:8E:88	-79	-89
D4:68:4D:3E:91:D8	-58	-73
D4:68:4D:3E:91:DC	-72	-78
D4:68:4D:3E:A3:08	-61	-70
D4:68:4D:3E:A3:0C	-86	-90
D4:68:4D:3E:A3:C8	-81	-90
D4:68:4D:3E:A4:28	-53	-73
D4:68:4D:3E:A4:2C	-72	-85
D4:68:4D:3E:A6:38	-78	-88
D4:68:4D:3E:A6:88	-76	-88
2C:E6:CC:1A:CB:D8	-58	-61
D4:68:4D:3E:A7:B8	-84	-93
D4:C1:9E:3F:1A:98	-64	-66
D4:C1:9E:7F:1A:58	-68	-68
00:1E:4A:8F:F5:D0	-87	-93
00:1E:4A:90:01:70	-85	-93
D4:68:4D:3E:89:58	-89	-92
D4:68:4D:3E:A6:8C	-87	-89
6C:AA:B3:32:31:C8	-90	-90
6C:AA:B3:72:31:C8	-88	-90
