D4:68:4D:3E:91:DC	-56	-66
D4:68:4D:3E:8A:68	-58	-71
D4:68:4D:3E:A3:08	-51	-64
D4:68:4D:3E:19:78	-71	-90
00:22:6B:47:B8:32	-86	-94
D4:68:4D:3E:87:F8	-65	-84
D4:68:4D:3E:54:98	-52	-67
D4:68:4D:3E:59:38	-76	-86
D4:68:4D:3E:91:D8	-40	-56
D4:68:4D:3E:82:98	-53	-73
42:49:0F:9A:96:50	-79	-90
D4:68:4D:3E:8C:88	-61	-78
D4:68:4D:3E:81:88	-69	-91
D4:68:4D:3E:A4:28	-52	-66
D4:68:4D:3E:A6:88	-67	-85
D4:68:4D:3E:A6:8C	-82	-92
D4:68:4D:3E:8A:6C	-72	-82
D4:68:4D:3E:58:EC	-83	-90
D4:68:4D:3E:59:3C	-85	-88
D4:68:4D:3E:A3:0C	-72	-84
D4:68:4D:3E:87:FC	-74	-86
D4:68:4D:3E:82:9C	-64	-74
D4:68:4D:3E:81:9C	-75	-85
D4:68:4D:3E:54:9C	-73	-81
D4:68:4D:3E:81:8C	-78	-87
D4:68:4D:3E:8C:8C	-76	-84
D4:68:4D:3E:A4:2C	-69	-79
D4:68:4D:3E:81:98	-64	-74
D4:68:4D:3E:A3:C8	-80	-90
D4:68:4D:3E:A7:B8	-81	-81
D4:68:4D:3E:81:A8	-62	-75
D4:68:4D:3E:58:E8	-72	-80
00:1E:4A:90:00:20	-71	-82
58:93:96:08:4A:18	-64	-81
D4:68:4D:3E:54:D8	-74	-86
44:1C:A8:0F:72:9E	-74	-87
56:13:79:D4:3E:98	-88	-88
D4:68:4D:3E:A6:38	-82	-89
D4:68:4D:3E:77:38	-84	-88
D4:68:4D:3E:81:AC	-80	-89
00:1E:4A:90:04:30	-89	-89
2C:E6:CC:1A:CB:D8	-58	-58
6C:AA:B3:32:31:C8	-88	-89
6C:AA:B3:72:31:C8	-87	-89
D4:68:4D:3E:89:58	-83	-89
D4:68:4D:3E:8E:88	-85	-92
D4:C1:9E:7F:1A:58	-76	-77
D4:C1:9E:BF:1A:97	-84	-87
D4:68:4D:3E:19:7C	-88	-90
58:93:96:08:4A:1C	-86	-89
D4:C1:9E:3F:1A:98	-81	-82
00:1E:4A:8F:FE:30	-84	-91
00:1E:4A:90:01:70	-88	-97
00:1E:4A:8F:F5:D0	-91	-94
