00:1E:4A:8F:F5:D0	-74	-92
00:1E:4A:8F:FE:30	-78	-86
00:1E:4A:90:00:20	-62	-78
00:1E:4A:90:01:70	-73	-87
00:1E:4A:90:04:30	-77	-90
00:22:6B:47:B8:32	-77	-90
00:24:82:25:4E:58	-54	-64
00:24:82:65:4E:58	-53	-53
2C:E6:CC:1A:CB:D8	-54	-59
42:49:0F:9A:96:50	-72	-90
44:1C:A8:0F:72:9E	-71	-84
56:13:79:D4:3E:98	-80	-83
58:93:96:08:4A:18	-67	-84
5C:51:88:82:1B:34	-73	-73
6C:AA:B3:32:31:C8	-90	-95
6C:AA:B3:72:31:C8	-89	-93
D4:68:4D:3E:19:78	-73	-89
D4:68:4D:3E:19:7C	-85	-90
D4:68:4D:3E:54:98	-53	-62
D4:68:4D:3E:54:9C	-74	-83
D4:68:4D:3E:54:D8	-73	-87
D4:68:4D:3E:54:DC	-81	-88
D4:68:4D:3E:58:E8	-67	-82
D4:68:4D:3E:58:EC	-81	-90
D4:68:4D:3E:59:38	-71	-83
D4:68:4D:3E:59:3C	-90	-90
D4:68:4D:3E:77:38	-83	-89
D4:68:4D:3E:81:88	-69	-89
D4:68:4D:3E:81:8C	-83	-83
D4:68:4D:3E:81:98	-53	-77
D4:68:4D:3E:81:9C	-65	-78
D4:68:4D:3E:81:A8	-52	-63
D4:68:4D:3E:81:AC	-73	-80
D4:68:4D:3E:82:98	-51	-64
D4:68:4D:3E:82:9C	-58	-67
D4:68:4D:3E:87:F8	-61	-83
D4:68:4D:3E:87:FC	-74	-89
D4:68:4D:3E:89:58	-89	-92
D4:68:4D:3E:8A:68	-42	-59
D4:68:4D:3E:8A:6C	-47	-60
D4:68:4D:3E:8C:88	-63	-79
D4:68:4D:3E:8C:8C	-79	-89
D4:68:4D:3E:8E:88	-67	-81
D4:68:4D:3E:8E:8C	-84	-92
D4:68:4D:3E:91:D8	-45	-63
D4:68:4D:3E:91:DC	-64	-80
D4:68:4D:3E:A3:08	-61	-77
D4:68:4D:3E:A3:0C	-86	-88
D4:68:4D:3E:A3:C8	-79	-88
D4:68:4D:3E:A4:28	-41	-57
D4:68:4D:3E:A4:2C	-62	-77
D4:68:4D:3E:A5:08	-85	-94
D4:68:4D:3E:A6:38	-64	-80
D4:68:4D:3E:A6:3C	-81	-91
D4:68:4D:3E:A6:88	-77	-90
D4:68:4D:3E:A6:8C	-85	-88
D4:68:4D:3E:A7:B8	-88	-93
D4:C1:9E:3F:1A:98	-69	-69
D4:C1:9E:7F:1A:58	-73	-73
DA:32:E3:B9:FF:04	-41	-52
DE:53:60:A3:80:59	-87	-87
