LINSSIDDATALOGVER 2.8	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-48	80	-48	-48	46	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	36	-82	80	-82	-82	46	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	64	-68	80	-68	-68	46	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	40	-80	40	-80	-80	151	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	32	-84	80	-84	-84	151	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	34	-83	80	-83	-83	159	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	30	-85	80	-85	-85	159	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	50	-75	80	-75	-75	159	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	32	-84	80	-84	-84	159	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	46	-77	80	-77	-77	159	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	90	-55	20	-60	-55	11	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	94	-53	20	-53	-41	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	56	-72	20	-72	-65	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	60	-70	20	-70	-68	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	38	-81	20	-81	-80	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	48	-76	20	-76	-75	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:58:E8	1	AP	bgn	PSK	CCMP	CCMP	2412	30	-85	20	-85	-81	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	34	-83	20	-83	-83	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	36	-82	20	-83	-82	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8E:38	1	AP	bgn	PSK	CCMP	CCMP	2412	16	-92	20	-92	-92	1	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-76	-72	4	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	90	-55	20	-60	-55	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	72	-64	20	-64	-64	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	68	-66	20	-66	-65	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	48	-76	20	-78	-76	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	72	-64	20	-68	-64	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	28	-86	20	-86	-82	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	24	-88	20	-88	-82	6	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	54	-73	20	-74	-73	7	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	74	-63	20	-63	-61	10	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	38	-81	20	-83	-81	11	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	44	-78	20	-78	-77	11	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	14	-93	20	-93	-93	11	2018/09/14.20:49:59	2018/09/14.20:50:05	"Cisco-Linksys, LLC"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	42	-79	80	-79	-78	38	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:AC	36	AP	bgnac	PSK	CCMP	CCMP	5180	32	-84	80	-87	-84	38	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	64	-68	80	-77	-68	46	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-50	80	-50	-48	46	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	34	-83	80	-83	-82	46	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	62	-69	80	-69	-68	46	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	44	-78	40	-80	-78	151	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	28	-86	80	-86	-84	151	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-84	-83	159	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	30	-85	80	-85	-85	159	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	58	-71	80	-75	-71	159	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	32	-84	80	-84	-84	159	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	58	-71	80	-77	-71	159	2018/09/14.20:49:59	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:8E:88	1	AP	bgn	PSK	CCMP	CCMP	2412	20	-90	20	-90	-90	1	2018/09/14.20:50:05	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:05	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	46	-77	20	-77	-77	4	2018/09/14.20:50:05	2018/09/14.20:50:05	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	92	-54	20	-60	-54	11	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-42	20	-53	-41	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	66	-67	20	-72	-65	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-70	-68	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	46	-77	20	-81	-77	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	42	-79	20	-79	-75	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:58:E8	1	AP	bgn	PSK	CCMP	CCMP	2412	26	-87	20	-87	-81	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
