LINSSIDDATALOGVER 2.8	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	36	-82	20	-83	-82	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	36	-82	20	-83	-82	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8E:38	1	AP	bgn	PSK	CCMP	CCMP	2412	16	-92	20	-92	-92	1	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-76	-72	4	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-60	-55	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	74	-63	20	-64	-63	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	76	-62	20	-66	-62	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	50	-75	20	-78	-75	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	68	-66	20	-68	-64	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	30	-85	20	-86	-82	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	26	-87	20	-88	-82	6	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	54	-73	20	-74	-73	7	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	70	-65	20	-65	-61	10	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	38	-81	20	-83	-81	11	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	44	-78	20	-78	-77	11	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	14	-93	20	-93	-93	11	2018/09/14.20:49:59	2018/09/14.20:50:09	"Cisco-Linksys, LLC"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	44	-78	80	-79	-78	38	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:AC	36	AP	bgnac	PSK	CCMP	CCMP	5180	32	-84	80	-87	-84	38	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	62	-69	80	-77	-68	46	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-50	80	-50	-48	46	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	34	-83	80	-83	-82	46	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	58	-71	80	-71	-68	46	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	42	-79	40	-80	-78	151	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	30	-85	80	-86	-84	151	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	34	-83	80	-84	-83	159	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-85	-84	159	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	56	-72	80	-75	-71	159	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	30	-85	80	-85	-84	159	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	48	-76	80	-77	-71	159	2018/09/14.20:49:59	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:8E:88	1	AP	bgn	PSK	CCMP	CCMP	2412	20	-90	20	-90	-90	1	2018/09/14.20:50:05	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	48	-76	20	-77	-76	4	2018/09/14.20:50:05	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:09	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	16	-92	20	-92	-92	6	2018/09/14.20:50:09	2018/09/14.20:50:09	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:50:09	"TU"	D4:68:4D:3E:86:68	6	AP	bgn	PSK	CCMP	CCMP	2437	30	-85	20	-85	-85	6	2018/09/14.20:50:09	2018/09/14.20:50:09	"Ruckus Wireless"
2018/09/14.20:50:13	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-50	20	-60	-50	11	2018/09/14.20:49:59	2018/09/14.20:50:13	"Ruckus Wireless"
2018/09/14.20:50:13	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-40	20	-53	-40	1	2018/09/14.20:49:59	2018/09/14.20:50:13	"Ruckus Wireless"
2018/09/14.20:50:13	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	78	-61	20	-72	-61	1	2018/09/14.20:49:59	2018/09/14.20:50:13	"Ruckus Wireless"
2018/09/14.20:50:13	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	58	-71	20	-71	-68	1	2018/09/14.20:49:59	2018/09/14.20:50:13	"Ruckus Wireless"
